FeatureVec,FeatureEmbedding,Explanation,Label
"[-1.26, 0.79, -1.06, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.8]","[('L', 4, -0.7)]",0
"[-1.87, -0.13, -1.51, -1.45]","[-0.99, 1.0, 1.0, -0.99, 0.78]","[('L', 4, -0.7)]",0
"[-1.02, 0.79, -1.28, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.84]","[('L', 4, -0.7)]",0
"[0.55, 0.56, 0.54, 0.53]","[0.99, 0.95, 0.89, 0.91, -0.67]","[('R', 4, -0.7), ('R', 4, 0.5), ('L', 4, 0.6), ('L', 3, 1.0)]",1
"[-0.54, 1.94, -1.17, -1.05]","[-0.99, 1.0, 1.0, -0.99, 0.88]","[('L', 4, -0.7)]",0
"[0.31, -0.59, 0.14, 0.13]","[0.99, 0.99, 0.99, 0.95, -0.93]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.8, -0.13, 0.82, 1.05]","[1.0, -0.92, -0.88, 0.99, 0.43]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.9, 1.02, -1.34, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.86]","[('L', 4, -0.7)]",0
"[0.55, 0.79, 1.05, 1.58]","[1.0, -0.98, -0.97, 0.99, 0.8]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-1.02, 0.79, -1.23, -1.05]","[-0.99, 1.0, 1.0, -0.99, 0.85]","[('L', 4, -0.7)]",0
"[1.04, 0.1, 1.05, 1.58]","[1.0, -0.99, -0.98, 1.0, 0.81]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.29, -0.82, 0.25, 0.13]","[0.99, 0.97, 0.97, 0.96, -0.93]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-1.26, 0.79, -1.23, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.83]","[('L', 4, -0.7)]",0
"[1.16, -0.13, 0.99, 1.19]","[1.0, -0.98, -0.96, 1.0, 0.62]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.78, 0.79, -1.34, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.85]","[('L', 4, -0.7)]",0
"[-0.05, -0.82, 0.19, -0.26]","[0.98, 1.0, 1.0, 0.91, -0.96]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.9, 0.79, -1.28, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.84]","[('L', 4, -0.7)]",0
"[2.25, -1.05, 1.79, 1.45]","[1.0, -1.0, -1.0, 1.0, 0.58]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.29, -0.13, 0.42, 0.4]","[0.99, 0.88, 0.84, 0.95, -0.8]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.66, 1.48, -1.28, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.87]","[('L', 4, -0.7)]",0
"[-1.02, 0.56, -1.34, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.83]","[('L', 4, -0.7)]",0
"[1.77, -0.36, 1.44, 0.79]","[1.0, -0.99, -0.97, 1.0, 0.25]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.05, -0.59, 0.76, 1.58]","[1.0, -0.99, -0.98, 1.0, 0.73]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[0.43, 0.79, 0.93, 1.45]","[1.0, -0.95, -0.94, 0.99, 0.74]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[1.28, 0.1, 0.65, 0.4]","[0.99, 0.91, 0.9, 0.97, -0.78]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.8, -0.13, 1.16, 1.32]","[1.0, -0.99, -0.99, 1.0, 0.67]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[1.04, -0.13, 0.71, 0.66]","[1.0, 0.05, 0.17, 0.99, -0.38]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",1
"[-0.05, -0.82, 0.08, 0.0]","[0.99, 1.0, 0.99, 0.94, -0.94]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.67, 0.1, 0.99, 0.79]","[1.0, -0.89, -0.81, 0.99, 0.03]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[1.28, 0.1, 0.93, 1.19]","[1.0, -0.95, -0.92, 0.99, 0.63]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.29, -0.13, 0.19, 0.13]","[0.96, 1.0, 0.99, 0.83, -0.88]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-1.26, -0.13, -1.34, -1.45]","[-0.99, 1.0, 1.0, -0.99, 0.78]","[('L', 4, -0.7)]",0
"[-1.14, 1.25, -1.34, -1.45]","[-0.99, 1.0, 1.0, -0.99, 0.85]","[('L', 4, -0.7)]",0
"[-0.17, -1.28, 0.71, 1.05]","[1.0, -0.98, -0.96, 1.0, 0.26]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[0.67, -0.59, 1.05, 1.32]","[1.0, -1.0, -0.99, 1.0, 0.62]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[0.31, -0.59, 0.54, 0.0]","[1.0, 0.95, 0.96, 0.97, -0.95]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[1.04, 0.1, 0.36, 0.26]","[0.99, 0.99, 0.99, 0.92, -0.87]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.43, -0.36, 0.31, 0.13]","[0.99, 0.99, 0.99, 0.94, -0.93]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.42, -1.51, 0.02, -0.13]","[0.99, 0.99, 0.99, 0.96, -0.96]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-1.02, -2.43, -0.15, -0.26]","[0.99, 0.99, 0.99, 0.98, -0.95]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.9, 1.02, -1.34, -1.18]","[-0.99, 1.0, 1.0, -0.99, 0.86]","[('L', 4, -0.7)]",0
"[1.04, -1.28, 1.16, 0.79]","[1.0, -0.99, -0.97, 1.0, 0.06]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[1.28, 0.33, 1.1, 1.45]","[1.0, -0.99, -0.98, 1.0, 0.79]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[0.67, -0.36, 0.31, 0.13]","[0.99, 0.99, 0.99, 0.95, -0.93]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.42, -1.05, 0.36, 0.0]","[1.0, 0.94, 0.95, 0.97, -0.95]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.55, -1.28, 0.71, 0.92]","[1.0, -0.93, -0.88, 1.0, 0.1]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.29, -1.28, 0.08, -0.13]","[0.99, 0.99, 0.99, 0.96, -0.96]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.78, -0.82, 0.08, 0.26]","[0.99, 0.97, 0.96, 0.95, -0.86]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[1.04, 0.1, 0.54, 0.4]","[0.99, 0.95, 0.94, 0.96, -0.8]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[2.25, -0.59, 1.67, 1.05]","[1.0, -1.0, -0.99, 1.0, 0.49]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-1.51, 0.1, -1.28, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.78]","[('L', 4, -0.7)]",0
"[0.55, -1.28, 0.65, 0.4]","[1.0, -0.18, 0.15, 0.99, -0.73]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.31, -0.13, 0.65, 0.79]","[1.0, -0.48, -0.38, 0.99, -0.16]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]",2
"[0.55, -0.59, 0.76, 0.4]","[1.0, -0.14, 0.16, 0.99, -0.73]","[('R', 4, -0.7), ('L', 4, 0.5)]",2
"[-0.17, -0.59, 0.19, 0.13]","[0.99, 0.99, 0.98, 0.94, -0.92]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.43, -1.97, 0.42, 0.4]","[1.0, 0.3, 0.53, 1.0, -0.78]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.55, 0.56, 1.27, 1.71]","[1.0, -1.0, -0.99, 0.99, 0.81]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.9, -1.28, -0.43, -0.13]","[0.86, 1.0, 1.0, 0.78, -0.81]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.31, -1.05, 1.05, 0.26]","[1.0, -0.89, -0.69, 0.99, -0.72]","[('R', 4, -0.7), ('L', 4, 0.5)]",2
"[-0.05, -0.82, 0.76, 0.92]","[1.0, -0.97, -0.92, 1.0, 0.13]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[2.25, 1.71, 1.67, 1.32]","[1.0, -0.96, -0.95, 0.98, 0.79]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.54, 1.48, -1.28, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.87]","[('L', 4, -0.7)]",0
"[-1.75, -0.36, -1.34, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.75]","[('L', 4, -0.7)]",0
"[1.04, 0.56, 1.1, 1.19]","[1.0, -0.96, -0.94, 0.99, 0.64]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.17, -0.59, 0.42, 0.13]","[0.99, 0.94, 0.94, 0.96, -0.93]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.43, -0.59, 0.59, 0.79]","[1.0, -0.58, -0.43, 0.99, -0.17]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]",2
"[0.07, -0.13, 0.25, 0.4]","[0.99, 0.98, 0.97, 0.94, -0.83]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.92, -0.36, 0.48, 0.13]","[0.99, 0.98, 0.98, 0.97, -0.93]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.67, -0.59, 1.05, 1.19]","[1.0, -0.99, -0.98, 1.0, 0.54]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[0.07, 0.33, 0.59, 0.79]","[1.0, 0.23, 0.1, 0.97, -0.25]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('R', 2, 0.1)]",1
"[-0.42, 2.63, -1.34, -1.32]","[-1.0, 1.0, 1.0, -1.0, 0.89]","[('L', 4, -0.7)]",0
